,date,traf,hour,is_weekday,day,region,lower,upper,region2,predict,tech,kpi,status,delta_from_threshold,c_days
0,2021-09-15 16:00:00,3689.396000000006,16,1,15,Absheron,3596.087963029959,3662.660516970036,0,3629.374239999997,2G,cs traf,1,0.7299470673325517,4.0
1,2021-09-15 16:00:00,4941.6300000000065,16,1,15,Baku,4792.235892202352,4932.048307797655,2,4862.142100000005,2G,cs traf,1,0.19427409474482604,1.0
2,2021-09-15 16:00:00,549.6599999999999,16,1,15,Naxchivan,592.8457841578476,615.5588158421523,5,604.2022999999998,2G,cs traf,2,7.284488700412064,2.0
3,2021-09-15 16:00:00,1307.7940000000006,16,1,15,Quba,1277.0658924536626,1301.7447875463336,7,1289.405339999998,2G,cs traf,1,0.46470034000053057,2.0
4,2021-09-15 16:00:00,980.3619999999997,16,1,15,Sheki,1001.5286859423418,1038.0353740576566,8,1019.7820299999993,2G,cs traf,2,2.1134378115616563,6.0
5,2021-09-15 16:00:00,6361.8688330078,16,1,15,Absheron,6707.61098595958,6947.4760460716625,0,6827.543516015621,2G,data traf,2,5.154475321772381,3.0
6,2021-09-15 16:00:00,7183.7079296874945,16,1,15,Baku,7376.563179794714,7830.057555947486,2,7603.310367871099,2G,data traf,2,2.614432295997592,1.0
7,2021-09-15 16:00:00,2704.358129882813,16,1,15,Lankaran,2274.52020214815,2699.6871473830906,4,2487.1036747656203,2G,data traf,1,0.1730193998312054,1.0
8,2021-09-15 16:00:00,11292.844272222243,16,1,15,Absheron,10979.813216564871,11291.394101212898,0,11135.603658888891,3G,cs traf,1,0.012843152903402634,1.0
9,2021-09-15 16:00:00,2851.8072944444416,16,1,15,Aran,2730.741385786637,2829.550674824475,1,2780.146030305556,3G,cs traf,1,0.7865778767629608,2.0
10,2021-09-15 16:00:00,3228.410999999999,16,1,15,Ganja,3034.08026069293,3120.299059307066,3,3077.189659999998,3G,cs traf,1,3.4647941956224564,4.0
11,2021-09-15 16:00:00,562.4039999999998,16,1,15,Lankaran,538.2780687885937,557.684571211406,4,547.9813199999999,3G,cs traf,1,0.8462541429722849,3.0
12,2021-09-15 16:00:00,389.92731666666646,16,1,15,Naxchivan,398.3257689406205,418.97491928160247,5,408.6503441111115,3G,cs traf,2,2.108438099872473,2.0
13,2021-09-15 16:00:00,106.358,16,1,15,Qarabag,91.72935910059248,96.95246089940748,6,94.34090999999998,3G,cs traf,1,9.701186554048574,2.0
14,2021-09-15 16:00:00,552681.3461418152,16,1,15,Absheron,558105.4124142318,577070.1919687982,0,567587.802191515,3G,data traf,2,0.9718712902197798,1.0
15,2021-09-15 16:00:00,399267.90553474426,16,1,15,Aran,372760.0075808896,393401.9751783381,1,383080.99137961393,3G,data traf,1,1.4910780134611628,3.0
16,2021-09-15 16:00:00,23062.849404335022,16,1,15,Qarabag,15003.568547892468,21116.268016495804,6,18059.918282194136,3G,data traf,1,9.218396860271756,3.0
17,2021-09-15 16:00:00,3043025.143184662,16,1,15,Absheron,2971729.5930055273,3038124.5431316523,0,3004927.06806859,4G,data traf,1,0.16130346150846447,10.0
18,2021-09-15 16:00:00,227227.30672836304,16,1,15,Qarabag,164259.33054515455,191686.16486481094,5,177972.74770498273,4G,data traf,1,18.541318247260012,7.0
