,origin_site,Neighbour_site,dist_km,2G down,3G down,4G down
0,LSVN6198O,SVN1385,8.47,2023-05-22 16:45:15,2023-05-22 16:44:10,2023-05-22 16:45:15
1,LSVN6198O,SVN1385,8.47,2023-05-22 16:45:15,2023-05-22 16:44:10,2023-05-24 00:58:16
2,LSVN6198O,SVN1385,8.47,2023-05-22 16:45:15,2023-05-24 00:57:55,2023-05-22 16:45:15
3,LSVN6198O,SVN1385,8.47,2023-05-22 16:45:15,2023-05-24 00:57:55,2023-05-24 00:58:16
4,LSVN6198O,SVN1954,5.08,,2023-05-24 00:57:52,2023-05-24 00:58:16
5,LSVN6198O,SVN1966,2.99,,2023-05-24 00:57:51,2023-05-24 00:58:16
6,UGNJ1327,GNJ0291,5.8,,,2023-05-24 00:58:16
7,UGNJ1327,GNJ0942,8.74,,2023-05-24 00:57:37,2023-05-24 00:58:16
8,UGNJ1327,GNJ1339,9.04,,,2023-05-24 00:58:16
9,UGNJ1327,GNJ1729,1.21,,,2023-05-24 00:58:16
10,UGNJ1327,GNJ4980,2.1,,,2023-05-24 00:58:16
11,UGNJ1327,QRB2144,8.22,,,2023-05-24 00:58:16
12,UGNJ1729,GNJ0291,5.8,,,2023-05-24 00:58:16
13,UGNJ1729,GNJ0661,8.19,2023-05-24 00:38:25,,
14,UGNJ1729,GNJ1327,1.21,,,2023-05-24 00:58:16
15,UGNJ1729,GNJ1339,9.04,,,2023-05-24 00:58:16
16,UGNJ1729,GNJ4980,2.1,,,2023-05-24 00:58:16
